TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
RTC found fail hence the meter is defective therefore meter replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
one phase voltage is very low so this case is referred to zone for rectification work,Network / Zone Maintenance Team,Network / Zone Maintenance Team,95.66,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
meter reading forward jump so meter replacement required AT site,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.21,100-90% Very High,Correct
ABNORMAL PULSE BLINKING IN METER SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.61,100-90% Very High,Correct
Seven Segment display found faulty seven segment is partially absent meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.62,100-90% Very High,Correct
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
MDI CORRUPT METER NOT RECORDING PROPER MDI AS PER CONNECTED LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.24,100-90% Very High,Correct
Meter display Segment is found defective so Meter is Defective needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.73,100-90% Very High,Correct
Meter RTC found failed hence same needs to be replaced under defective category Contacted Person Yasmin,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.16,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Suraj Bhan,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.53,100-90% Very High,Correct
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter display segment is defective at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted PersonSatish Kumar,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.19,100-90% Very High,Correct
meter terminal burnt so meter replacement required at site,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.73,100-90% Very High,Correct
RTC found fail therefore meter needs to be replace under defective category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.81,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Also RTC found Defective and EL LED glowing even on External load KW Contacted Person Muskan,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.99,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Shiv Ashish Pandey,Meter Replacement / Installation Team,Meter Replacement / Installation Team,96.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
MDI CORRUPT METER NOT RECORDING PROPER MDI AS PER CONNECTED LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.24,100-90% Very High,Correct
Meter RTC Failed so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter display segment found defective so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter calibration pulse abnormal blinking at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.48,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.18,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
The Meter Display is found defective display is found struck therefore the meter needs to be replaced under the defective category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.7,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same also RTC found fail Contacted Person Seema,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.41,100-90% Very High,Correct
Meter EL and REV Led found glowing even on external load therefore meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.28,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
RTC is corrupt hence Meter replacement is required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter Display Segment not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
Meter Rtc Fail So Meter Defective Needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
meter no pulse blinking on load so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
Meter EL and REV Led found glowing even on external load therefore meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.28,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter calibration pulse abnormal blinking so meter defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.56,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter Display Segment Not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter calibration pulse abnormal blinking at the time of testing so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter found totally burnt at site and meter number not visible so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.17,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Roy,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.61,100-90% Very High,Correct
meter mdi not recorded as per connected load so Meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.54,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
meter RTc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter calebration pluse abnormal belinking on without load and meter terminal found melt at the time of testing so meter need replacement required Discuss with consumer sh sonu phone no,Meter Replacement / Installation Team,Meter Replacement / Installation Team,96.95,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Neeraj Kumar,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.43,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter Rtc Fail So Meter Defective Needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
Meter display is faulty so meter is defective need to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.89,100-90% Very High,Correct
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter tested as per safty norms meter calibration pulse abnormal blinking so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.4,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
METER RTC Fail So Meter Is Defective Need Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
meter calibration pulse abnormal blinking at the time of testing so Meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.55,100-90% Very High,Correct
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the sameAlso Seven Segment display is defective,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.15,100-90% Very High,Correct
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTc fail at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.58,100-90% Very High,Correct
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.73,100-90% Very High,Correct
meter calibration pulse abnormal blinking at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.48,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
No Display at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
Meter display Segment is found defective so Meter is Defective needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Earth LED found ON even on External Load KW hence meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.65,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter abnormal pulse blinking so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter calibration pulse abnormal blinking at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.48,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter display segment found defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter abnormal pulse blinking so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter calibration plus abnormal blinking at the time of testing so meter is defectiveso meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,88.77,90-75% High,Correct
meter mdi not recorded as per connected load so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.54,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter Rtc Fail So Meter Defective Needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
RTC is corrupt hence Meter replacement is required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter ELT ON on external load so meter defective meter need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct
RTC found fail therefore meter is defective hence Replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter display segment found defective so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
NO DISPLAY SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.87,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
meter rtc fail so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter incoming terminal burnt meter mdi not recorded as per connected load so meter defective meter need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.74,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100.0,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter display segment found defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter EL is ON on external load so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.82,100-90% Very High,Correct
Meter ELT is glowing on external load so meter is defective need to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.74,100-90% Very High,Correct
meter RTc failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Current Parameter of Phase and Neutral is not matching also RTC found failed therefore same is defective therefore same needs to be replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.88,100-90% Very High,Correct
meter display segment found defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct
RTC found Fail hence meter is defective also Low Battery found hence replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.5,100-90% Very High,Correct
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.32,100-90% Very High,Correct
Meter display segments are not properly visible so meter is defective and need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.91,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.09,100-90% Very High,Correct
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct
