SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
260,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
261,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
262,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
263,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
264,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
265,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
266,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
267,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
269,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
270,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
271,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
272,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
273,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
274,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
275,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
276,meter tested as per safety norms,,,meter test safety norm
278,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
279,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
280,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
281,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
282,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
283,meter tested as per safety norms,,,meter test safety norm
284,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
285,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
286,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
287,meter tested as per safety norms,,,meter test safety norm
288,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
289,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
290,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
291,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
292,meter tested as per safety norms meter accuracy found within limit at the time of testing meter not in use all elements are working,,,meter test safety norm meter accuracy limit time test meter use element work
293,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
294,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
295,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
296,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
298,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
299,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
300,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
301,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
302,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
303,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
305,meter tested as per safety norms,,,meter test safety norm
306,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
307,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
308,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
309,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
310,meter accuracy found with in limit at the time of testing,,,meter accuracy limit time test
311,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
312,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
314,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
315,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
316,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
317,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
318,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
320,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
321,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
322,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
323,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
324,the incoming phase of the terminal meter is found melted therefore the same is suspected for theft hence the same is being referred to ceg for further analysis,,,incom phase terminal meter melt suspect theft referr ceg analysi
325,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
326,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
327,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
328,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
331,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
332,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
333,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
334,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
335,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
336,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
337,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
338,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
339,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
341,meter tested ss per safely norms,,,meter test ss safely norm
342,meter tested as per safety norms,,,meter test safety norm
343,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
344,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
345,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
346,meter tested as per all safety norms all display parameter found ok at the time of meter testingmeter box found damaged rectification required for the same photograph has been attached,,,meter test safety norm display parameter ok time meter testingmeter box damag rectification requir photograph attach
347,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
348,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
349,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting consumer not able to signature,,,meter test safety norm oftpddlaccuracy limitatatime oftest consumer able signature
351,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
352,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
353,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
354,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
355,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
356,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
357,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
358,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
359,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
360,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
361,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
362,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
363,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
365,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
366,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
367,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
368,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
369,meter tested as per all safety norms all display parameter found ok at the time of meter testing only one phase is in use meter not in use checked for one phase only,,,meter test safety norm display parameter ok time meter test phase use meter use check phase
370,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
371,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
372,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
373,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
374,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
375,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
376,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
377,meter tested as per safety norms,,,meter test safety norm
378,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
379,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
380,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
381,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
382,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
383,meter tested as per safety norms,,,meter test safety norm
384,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
385,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
386,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
387,meter tested as per safety norms,,,meter test safety norm
388,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
392,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
393,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
394,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
395,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
396,meter tested as per safety norms on external load and enforcement ir no date pasted on meter box discuss with back office tl,,,meter test safety norm external load enforcement ir date past meter box discus office tl
397,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
398,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
400,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
402,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
403,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
405,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
406,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
407,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
409,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
410,meter tested as per safety norms,,,meter test safety norm
411,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
412,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
413,meter tested as per safety norms,,,meter test safety norm
414,meter tested as per safety norms,,,meter test safety norm
415,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
416,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
417,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
418,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
419,meter tested as per safety norms,,,meter test safety norm
421,meter tested as per safety norms,,,meter test safety norm
422,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
423,meter tested as per safety norms,,,meter test safety norm
424,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
425,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
426,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
427,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
429,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
430,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
431,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
432,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
433,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
434,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
435,meter tested as per safety norms,,,meter test safety norm
436,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
437,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
440,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
441,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
442,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
443,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
444,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
445,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
446,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
447,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
448,meter tested as per safety norms,,,meter test safety norm
449,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
450,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
451,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
453,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
454,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
455,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
456,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
457,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
458,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
459,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
460,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
461,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
462,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
463,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
464,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
465,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
466,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
467,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
468,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
469,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
470,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
471,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
472,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
473,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
474,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
475,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
476,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
477,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
479,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
480,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
481,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
484,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
485,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
487,meter tested as per safety norms,,,meter test safety norm
488,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
489,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
490,meter tested as per safety norms,,,meter test safety norm
491,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
493,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
494,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
495,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
496,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
497,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
499,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
500,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
501,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
502,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
503,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
504,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
505,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
506,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
507,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
508,meter tested as per safety norms,,,meter test safety norm
509,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
510,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
511,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
512,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
513,meter tested as per safety norms,,,meter test safety norm
514,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
515,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
516,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
517,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
518,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
519,meter tested as per all safety norms all display parameter found ok at the time of meter testing only one phase is in use only,,,meter test safety norm display parameter ok time meter test phase use
521,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
522,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
523,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
524,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
525,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
526,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
527,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
528,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
529,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
530,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
531,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
532,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
533,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
534,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
535,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
536,meter tested as per safety norms,,,meter test safety norm
537,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
538,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
539,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
540,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
541,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
542,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
543,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
544,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
545,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
546,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
547,meter tested as per safety norms,,,meter test safety norm
549,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
550,meter accuracy found with in limit at the time of testing,,,meter accuracy limit time test
551,meter tested as per safety norms meter accuracy found within limit at the time of testing meter box found broken from front side so meter box needs to replacement required,,,meter test safety norm meter accuracy limit time test meter box broken meter box need replacement requir
552,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
553,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
554,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
555,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
556,meter tested as per safety norms,,,meter test safety norm
557,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
558,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
559,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
560,meter tested as per safety norms oftpddlaccuracy found within limitatatime oftesting,,,meter test safety norm oftpddlaccuracy limitatatime oftest
561,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
562,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
563,meter tested as per safety norms,,,meter test safety norm
564,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
568,meter tested as per safty norms meter accuracy found within limit at the time of testing,,,meter test safty norm meter accuracy limit time test
569,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
570,meter tested as per all safety norms all display parameter found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
