TEXT_REMARKS,ACTION_CATEGORY,PREDICTED_DEPARTMENT,CONFIDENCE_SCORE,CONFIDENCE_RANGE,MATCH_STATUS,IS_MATCH
Meter box and meter terminal seal not found so meter suspected refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.95,100-90% Very High,Correct,TRUE
seal meaning on meter box terminal so meter suspected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.81,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
meter box broken meter terminal seal not found so meter suspected refer to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.9,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Meter Terminal Meter box both seals are not found so Meter could not be tested Refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.54,100-90% Very High,Correct,TRUE
seal missing on meter box and terminal zonal paper seal damage,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,98.71,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
seal missing on meter box terminal so meter sucpected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.87,100-90% Very High,Correct,TRUE
Meter Terminal Seal and box Seal Missing So Meter is Suspected Refer to CEG For Futher Analysis At the time of testing,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.95,100-90% Very High,Correct,TRUE
meter box meter terminal seal not found so meter suspected refer to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.96,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further AnalysisMeter seal tempered,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.86,100-90% Very High,Correct,TRUE
Meter Terminal Seal and box Seal Missing So Meter is Suspected Refer to CEG For Futher Analysis At the time of testing,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.95,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Seal missing Meter box and Meter Terminal seal found missing also Suspect found on Incoming Service Cable hence meter Is suspected therefore same has been reffered to CEG for Further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.84,100-90% Very High,Correct,TRUE
as per site visit seal missing on meter box and terminal consumer mobile no not reachable,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,97.61,100-90% Very High,Correct,TRUE
seals missing on meter box terminal so refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.92,100-90% Very High,Correct,TRUE
seal missing on meter box terminal meter terminal cover not install so refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.81,100-90% Very High,Correct,TRUE
Seals found missing meter terminal and meter Box at the time of testing so meter suspected refered to enforcement inspection discuss smt Mamta phone no,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.76,100-90% Very High,Correct,TRUE
SEAL MISSING ON METER BOX AND TERMINAL,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.48,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Meter box and terminal seal not found so meter suspected refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.95,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
seal missing on meter box and terminal,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.48,100-90% Very High,Correct,TRUE
seals missing on meter so this case is referred to CEG for further examination or analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.63,100-90% Very High,Correct,TRUE
Meter Terminal Seal and outer Box seal found missing also no terminal cover found on meter hence theft os suspected therefore same has been referred to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.58,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter found burant and terminal seal not found at the time of testing so meter suspected refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.73,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
seal missing on meter box terminal so meter suspected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And Box Seal Missing So Meter is Suspected Refer to CEG Department For Futher Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.93,100-90% Very High,Correct,TRUE
Seal Missing on meter Terminal and Meter Box hence meter is suspected therefore same is been reffered to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.96,100-90% Very High,Correct,TRUE
Meter Terminal and Meter Box Seal found Missing also Terminal Cover not found hence meter is suspected and Therefore same is been reffered to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.94,100-90% Very High,Correct,TRUE
seal missing on meter box and terminal so meter is suspected refer to CEG,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
seal missing on meter box and terminal,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.48,100-90% Very High,Correct,TRUE
seal missing on meter box terminal so meter suspected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Site Visited For Meter Testing meter Cubicle found at site Meter is found suspected slow as at consumer side Balance Load is running on LT Side but in HT side current is showing abnomal hence same has beem reffered to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,93.33,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Meter box seals are not found so meter suspected refer to enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.83,100-90% Very High,Correct,TRUE
Meter terminal seal Box seal not found hence meter is suspected therefore same has been reffered to CEG for further analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.92,100-90% Very High,Correct,TRUE
Meter terminal Seal And box Seal missing So Meter is Suspected Refer to CEG For further Analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
seal missing on meter box and terminal,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.48,100-90% Very High,Correct,TRUE
Seals missing from meter box at the time of testing so meter could not be test discuss with consumer sh Satish Bhardwaj,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,98.61,100-90% Very High,Correct,TRUE
seal missing on meter box terminal so meter suspected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Seals missing from meter box at the time of testing so meter could not be test discuss with consumer sh Rajat,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,87.96,90-75% High,Correct,TRUE
seal missing on meter box and terminal,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.48,100-90% Very High,Correct,TRUE
Seals missing from meter box and meter box damage incoming side at the time of testing so meter suspected referred to enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,98.65,100-90% Very High,Correct,TRUE
No seals found on meter box and meter terminal so this case is referred to CEG for further examination or analysis,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.7,100-90% Very High,Correct,TRUE
seal missing on meter box terminal so meter suspected refer to ceg,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.97,100-90% Very High,Correct,TRUE
Meter Terminal And Meter Box Seals Are Not Found So Meter Suspected Refer To Enforcement,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,99.88,100-90% Very High,Correct,TRUE
Seals missing from meter box and terminal at the time of testing so meter could not be test discuss with consumer Smt Sunita,CEG / Enforcement / Vigilance Team,CEG / Enforcement / Vigilance Team,98,100-90% Very High,Correct,TRUE
No person at side at and no response on said phone at the time of testing so meter could not be test,Back-Office / Administrative Operations,Back-Office / Administrative Operations,99.07,100-90% Very High,Correct,TRUE
Meter Display not found also Meter found burnt at R and Y Phase Side inside meter body also Blackish marks observed inside the meter body therefore this meter is defective amd replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.76,100-90% Very High,Correct,TRUE
No display at the time of testing so meter need replacement required discuss with back office TL,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.56,100-90% Very High,Correct,TRUE
metering pulse abnormally blinking so meter to be replaced,Meter Replacement / Installation Team,No Action Needed,92.78,100-90% Very High,Wrong,FALSE
Meter display segment not proper at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
Meter ELT ON An External Load So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.81,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
FIGURE UPSET SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.88,100-90% Very High,Correct,TRUE
FIGURE UPSET SO METET REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.88,100-90% Very High,Correct,TRUE
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter ELT on at same current at the time of testing so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
meter display showing Low battery so meter to replaced,Meter Replacement / Installation Team,Meter Replacement / Installation Team,59.4,75-50% Medium,Correct,TRUE
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter display Segment is found defective so Meter is Defective needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100,100-90% Very High,Correct,TRUE
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100,100-90% Very High,Correct,TRUE
Meter is Physically damaged Meter body is found cracked just upper of Meter terminal PW meter found at site therefore same need to be replaced Meter is been sealed at meter terminal and Meter chamber Box and photographs has been atached,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.24,100-90% Very High,Correct,TRUE
Meter Body Found Physically damaged Meter Terminal and Its body fallen down during seal removal process for meter testing subsequently while attaching the terminal cover upper body also fallen down hence meter is physically damage and couldnt be tested and same needs replacement for further action Photographs has been attached removed Seal has been mentioned and Only Meter Chamber box seal is been installed on site,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.52,100-90% Very High,Correct,TRUE
meter display sagment defective so meter defective meter need to replacment,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.95,100-90% Very High,Correct,TRUE
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
RTC found fail hence the meter is defective therefore meter replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
one phase voltage is very low so this case is referred to zone for rectification work,Network / Zone Maintenance Team,Network / Zone Maintenance Team,99.29,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct,TRUE
meter reading forward jump so meter replacement required AT site,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.91,100-90% Very High,Correct,TRUE
ABNORMAL PULSE BLINKING IN METER SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.35,100-90% Very High,Correct,TRUE
Seven Segment display found faulty seven segment is partially absent meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.92,100-90% Very High,Correct,TRUE
Meter display segment defective at the time of testing so meter need replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,100,100-90% Very High,Correct,TRUE
MDI CORRUPT METER NOT RECORDING PROPER MDI AS PER CONNECTED LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Meter display Segment is found defective so Meter is Defective needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Seven Segment display found defective therefore same needs to be replace under defective category Photograph has been attached for reference,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.84,100-90% Very High,Correct,TRUE
Meter RTC found failed hence same needs to be replaced under defective category Contacted Person Yasmin,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.59,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Suraj Bhan,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
meter display segment is defective at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted PersonSatish Kumar,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.89,100-90% Very High,Correct,TRUE
meter terminal burnt so meter replacement required at site,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.8,100-90% Very High,Correct,TRUE
RTC found fail therefore meter needs to be replace under defective category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.95,100-90% Very High,Correct,TRUE
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.88,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Also RTC found Defective and EL LED glowing even on External load KW Contacted Person Muskan,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same Contacted Person Shiv Ashish Pandey,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.77,100-90% Very High,Correct,TRUE
meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
MDI CORRUPT METER NOT RECORDING PROPER MDI AS PER CONNECTED LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Meter RTC Failed so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter display segment found defective so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.99,100-90% Very High,Correct,TRUE
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter calibration pulse abnormal blinking at the time of testing so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.75,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.9,100-90% Very High,Correct,TRUE
Meter RTC Fail at the time of testing So meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.97,100-90% Very High,Correct,TRUE
The Meter Display is found defective display is found struck therefore the meter needs to be replaced under the defective category,Meter Replacement / Installation Team,Meter Replacement / Installation Team,98.14,100-90% Very High,Correct,TRUE
Instantaneous Values of Neutral and Phase current is Mismatching as compare with Reference Meter photographs has been attached for reference therefore same is defective and replacement required for the same also RTC found fail Contacted Person Seema,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct,TRUE
Meter EL and REV Led found glowing even on external load therefore meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
meter RTC failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
RTC is corrupt hence Meter replacement is required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,97.11,100-90% Very High,Correct,TRUE
Meter RTC fail as the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC failed at the time of testing so meter need to be change,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.93,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter calibration pulse is blinking abnormal at the time of testing So Meter is Defective need to be Replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.88,100-90% Very High,Correct,TRUE
Meter Display Segment not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct,TRUE
Meter Rtc Fail So Meter Defective Needs to be replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.91,100-90% Very High,Correct,TRUE
meter no pulse blinking on load so meter defective need replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.74,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
ELT SHOWING IN EXTERNAL LOAD SO METER REPLACEMENT REQUIRED AT SITE,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.96,100-90% Very High,Correct,TRUE
Meter EL and REV Led found glowing even on external load therefore meter is defective and replacement required for the same,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.94,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
meter calibration pulse abnormal blinking so meter defective so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.62,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter Display Segment Not Proper Showing So Meter Defective Needs to be replacement At the time of testing,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.98,100-90% Very High,Correct,TRUE
Meter RTC Failed at the time of testing so meter need to be changed,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.68,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter RTC fail at the time of the testingso meter is defective meter needs to replace,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.72,100-90% Very High,Correct,TRUE
Meter calibration pulse abnormal blinking at the time of testing so meter defective need to replacement,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.88,100-90% Very High,Correct,TRUE
Meter found totally burnt at site and meter number not visible so meter needs to replacement required,Meter Replacement / Installation Team,Meter Replacement / Installation Team,99.12,100-90% Very High,Correct,TRUE
